zip,city,state,county,population
02346,Middleboro,MA,Plymouth County,22410
02347,Lakeville,MA,Plymouth County,11500
02351,Abington,MA,Plymouth County,15720
02356,North Easton,MA,Bristol County,12060
02359,Pembroke,MA,Plymouth County,16780
02360,Plymouth,MA,Plymouth County,55930
02364,Kingston,MA,Plymouth County,13020
02367,Plympton,MA,Plymouth County,2810
02368,Randolph,MA,Norfolk County,30420
02370,Rockland,MA,Plymouth County,15920
02375,South Easton,MA,Bristol County,10080
02379,West Bridgewater,MA,Plymouth County,7300
02382,Whitman,MA,Plymouth County,14130
02420,Lexington,MA,Middlesex County,15410
02421,Lexington,MA,Middlesex County,18110
02445,Brookline,MA,Norfolk County,17320
02446,Brookline,MA,Norfolk County,22050
02451,Waltham,MA,Middlesex County,15770
02452,Waltham,MA,Middlesex County,10830
02453,Waltham,MA,Middlesex County,22870
02458,Newton,MA,Middlesex County,11560
02459,Newton Center,MA,Middlesex County,17230
02460,Newtonville,MA,Middlesex County,8730
02461,Newton Highlands,MA,Middlesex County,6860
02462,Newton Lower Falls,MA,Middlesex County,1320
02464,Newton Upper Falls,MA,Middlesex County,2890
02465,West Newton,MA,Middlesex County,11680
02466,Auburndale,MA,Middlesex County,6440
02467,Chestnut Hill,MA,Middlesex County,14520
02468,Waban,MA,Middlesex County,5620
02472,Watertown,MA,Middlesex County,30070
02474,Arlington,MA,Middlesex County,26070
02476,Arlington,MA,Middlesex County,16170
02478,Belmont,MA,Middlesex County,25140
02481,Wellesley Hills,MA,Norfolk County,15250
02482,Wellesley,MA,Norfolk County,10110
02492,Needham,MA,Norfolk County,20940
02493,Weston,MA,Middlesex County,10790
02494,Needham Heights,MA,Norfolk County,10330
02532,Buzzards Bay,MA,Barnstable County,10470
02535,Chilmark,MA,Dukes County,1330
02536,East Falmouth,MA,Barnstable County,18700
02537,East Sandwich,MA,Barnstable County,5810
02538,East Wareham,MA,Plymouth County,3920
02539,Edgartown,MA,Dukes County,5260
02540,Falmouth,MA,Barnstable County,6820
02542,Buzzards Bay,MA,Barnstable County,280
02543,Woods Hole,MA,Barnstable County,650
02554,Nantucket,MA,Nantucket County,11530
02556,North Falmouth,MA,Barnstable County,3380
02559,Pocasset,MA,Barnstable County,2940
02562,Sagamore Beach,MA,Barnstable County,3090
02563,Sandwich,MA,Barnstable County,9450
02568,Vineyard Haven,MA,Dukes County,7610
02571,Wareham,MA,Plymouth County,9210
02576,West Wareham,MA,Plymouth County,3720
02601,Hyannis,MA,Barnstable County,14690
02630,Barnstable,MA,Barnstable County,1920
02631,Brewster,MA,Barnstable County,9330
02632,Centerville,MA,Barnstable County,10350
02633,Chatham,MA,Barnstable County,3750
02635,Cotuit,MA,Barnstable County,3440
02638,Dennis,MA,Barnstable County,2860
02639,Dennis Port,MA,Barnstable County,2830
02642,Eastham,MA,Barnstable County,4080
02644,Forestdale,MA,Barnstable County,4100
02645,Harwich,MA,Barnstable County,9560
02646,Harwich Port,MA,Barnstable County,1900
02648,Marstons Mills,MA,Barnstable County,7080
02649,Mashpee,MA,Barnstable County,14460
02650,North Chatham,MA,Barnstable County,820
02653,Orleans,MA,Barnstable County,5010
02655,Osterville,MA,Barnstable County,3420
02657,Provincetown,MA,Barnstable County,3390
02659,South Chatham,MA,Barnstable County,1130
02660,South Dennis,MA,Barnstable County,5740
02664,South Yarmouth,MA,Barnstable County,9020
02667,Wellfleet,MA,Barnstable County,2790
02668,West Barnstable,MA,Barnstable County,3160
02670,West Dennis,MA,Barnstable County,1380
02671,West Harwich,MA,Barnstable County,1200
02673,West Yarmouth,MA,Barnstable County,8130
02675,Yarmouth Port,MA,Barnstable County,6350
02702,Assonet,MA,Bristol County,4140
02703,Attleboro,MA,Bristol County,41590
02715,Dighton,MA,Bristol County,3850
02717,East Freetown,MA,Bristol County,4760
02718,East Taunton,MA,Bristol County,6330
02719,Fairhaven,MA,Bristol County,13860
02720,Fall River,MA,Bristol County,25240
02721,Fall River,MA,Bristol County,21080
02723,Fall River,MA,Bristol County,12200
02724,Fall River,MA,Bristol County,14000
02725,Somerset,MA,Bristol County,2300
02726,Somerset,MA,Bristol County,14550
02738,Marion,MA,Plymouth County,5040
